Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6
1.0	1.1192430974915624e-05	0.0022003629621865028	32.0	64.0	0.32479102633916945	32.0	40.0
2.0	1.156907637778204e-05	0.006504620865648596	8.0	32.0	0.2913877706949545	64.0	50.0
3.0	6.111243237683084e-06	0.003269283315932265	16.0	32.0	0.22583694001488697	128.0	20.0
4.0	1.0008387107518502e-05	0.002105434789378768	32.0	64.0	0.25099632548843	32.0	50.0
5.0	1.1766434909077361e-05	0.004883872772496438	8.0	64.0	0.1768984962547876	32.0	50.0
6.0	1.2416739991749637e-05	0.01	16.0	32.0	0.5	128.0	20.0
7.0	5.018435331294313e-06	0.0051291138915939205	16.0	32.0	0.231673870796958	128.0	20.0
8.0	0.23215210437774658	0.0001	16.0	32.0	0.2439887860526461	128.0	20.0
9.0	4.168472059973283e-06	0.0012102070420949385	32.0	64.0	0.2408690666151889	32.0	50.0
10.0	9.597116331860889e-06	0.003151794151455031	32.0	64.0	0.33617746542632854	32.0	40.0
11.0	1.1490407814562786e-05	0.007346872871984787	8.0	32.0	0.3035614845420132	64.0	50.0
12.0	1.2217396943015046e-05	0.006890727803608878	16.0	32.0	0.48765819998449483	128.0	20.0
13.0	1.1568356057978235e-05	0.004887491526482063	8.0	64.0	0.18999277217218336	32.0	50.0
14.0	1.2434020391083322e-05	0.01	8.0	64.0	0.16409814282684845	32.0	50.0
15.0	1.2433689335011877e-05	0.01	8.0	32.0	0.2778405827769039	64.0	50.0
16.0	1.2434023119567428e-05	0.01	8.0	64.0	0.2029202768615667	32.0	50.0
17.0	1.2343831258476712e-05	0.007640293297051337	8.0	64.0	0.15040572168745192	32.0	50.0
18.0	6.826889148214832e-05	0.0001	8.0	64.0	0.21203537460307836	32.0	50.0
19.0	1.2434048585419077e-05	0.01	8.0	64.0	0.13655303400838187	32.0	50.0
20.0	0.00010335021943319589	0.0001	8.0	64.0	0.1269522119550139	32.0	50.0
21.0	0.003418161766603589	0.0001	8.0	32.0	0.315687890369679	64.0	50.0
22.0	0.005523533560335636	0.0001	8.0	32.0	0.26842267318817176	64.0	50.0
23.0	1.2434045856934972e-05	0.01	8.0	64.0	0.2199620320990775	32.0	50.0
24.0	1.2434048585419077e-05	0.01	32.0	64.0	0.34874995730437675	32.0	40.0
25.0	5.478523235069588e-05	0.0001	8.0	64.0	0.22829483580019216	32.0	50.0
26.0	1.2433799383870792e-05	0.01	8.0	64.0	0.11828779805688214	32.0	50.0
27.0	1.2434048585419077e-05	0.01	32.0	64.0	0.31266590251004833	32.0	40.0
28.0	2.500654045434203e-05	0.0001	32.0	64.0	0.3582931267700252	32.0	40.0
29.0	1.2434048585419077e-05	0.01	32.0	64.0	0.3670269359244864	32.0	40.0
30.0	1.2434046766429674e-05	0.01	8.0	64.0	0.23727991742322832	32.0	50.0
31.0	4.12831877838471e-06	0.0011500413333016127	32.0	64.0	0.37729836061653094	32.0	40.0
32.0	1.6339123249053955e-05	0.0001	32.0	64.0	0.302933941962648	32.0	40.0
33.0	1.0042209396488033e-05	0.01	16.0	32.0	0.4734864336668736	128.0	20.0
34.0	1.2434048585419077e-05	0.01	32.0	64.0	0.29396629839407995	32.0	40.0
35.0	1.2434048585419077e-05	0.01	32.0	64.0	0.38795159794426765	32.0	40.0
